Prijímy,podkategória 1,podkategória 2,rozpočet
Bežné prijímy daňové,daň z nehnuteľností,daň z pozemkov,
Bežné prijímy daňové,daň z nehnuteľností,daň zo stavieb,
Bežné prijímy daňové,daň z nehnuteľností,daň z bytov,
Bežné prijímy daňové,daň z nehnuteľností,nedoplatky min. rok,
Bežné prijímy daňové,daň za psa,daň za psa,
Bežné prijímy daňové,daň za psa,nedoplatky min. rok,
Bežné prijímy daňové,daň za ubytovanie,,1000
Bežné prijímy daňové,daň za užívanie verej. Priest.,,800
Bežné prijímy daňové,poplatok za komunálny odpad a stavebný odpad,poplatok za komunálny odpad a stavebný odpad,
Bežné prijímy daňové,poplatok za komunálny odpad a stavebný odpad,nedoplatky min. rok,
Bežné prijímy daňové,daň za jadrové zariadenia,,38760
Bežné prijímy daňové,daň za dobývací priestor,,120
Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom pozemkov,
Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom nebytových priestorov,
Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom zariadenia,
Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom bytov,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,správne poplatky,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,opatrovateľská služba,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,knižnica,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,relácia v MR ?,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,poplatok za smetnú nádobu,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,za dom smútku,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,preddavky na prevádzku bytov,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,za odpadový olej,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,recyklačný fond,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,poplatky cintorínske,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,za reklamu,
Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,úroky z vkladov,
Bežné prijímy ostatné,,,132597
Granty a transfery,Obvodný úrad Trnava,školstvo,
Granty a transfery,Obvodný úrad Trnava,dotácie soc. znevýhodnené prostredie,
Granty a transfery,Obvodný úrad Trnava,dotácie predškolský vek,
Granty a transfery,Obvodný úrad Trnava,dotácie vzdelávacie poukazy,
Granty a transfery,ÚPSVaR PN,školské potreby pre deti v hm. Núdzi,
Granty a transfery,ÚPSVaR PN,stravné pre deti v hm. N,
Granty a transfery,ÚPSVaR PN,rodinné prídavky,
Granty a transfery,Kraj. Úrad pre cestnú dopravu a pozemné komunikácie,miestne komunikácie a účelové komunikácie,
Granty a transfery,Kraj. Úrad životného prostredia,starostlivosť pre životné prostrdie,
Granty a transfery,Kraj. Stavebný úrad TT,stavebný poriadok a bývanie,
Granty a transfery,Ministerstvo vnútra SR,matrika,
Granty a transfery,Obvodný úrad Trnava,voľby,
Granty a transfery,VÚC TT,múzeum,
Granty a transfery,subjekty mimo VS,kultúra šport,
Granty a transfery,Min Kultúry,slávnosti,
Granty a transfery,Min Školstva,dofinancovanie,
Granty a transfery,Úrad Vlády SR,šport TJ - tribúna,
Kapitálové prijímy,prijímy z predaja pozemkov a nehmotných aktív,,2215
Granty a transfery,Min. Hosp. envirofond,,50000
Finančné operácie,úver,úver na kanalizáciu,"28612,08"
Finančné operácie,Rezervný fond,cesta Bernolákova,
Finančné operácie,Rezervný fond,vsakovačky,
Finančné operácie,zostatky min. rokov,cesta Bernolákova,
prijímy rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ,,5700
