Rok,Prijímy,podkategória 1,podkategória 2,plnenie
2013,Bežné prijímy daňové,daň z nehnuteľností,daň z pozemkov,"32269,1"
2013,Bežné prijímy daňové,daň z nehnuteľností,daň zo stavieb,"17240,7"
2013,Bežné prijímy daňové,daň z nehnuteľností,daň z bytov,"190,77"
2013,Bežné prijímy daňové,daň z nehnuteľností,nedoplatky min. rok,0
2013,Bežné prijímy daňové,daň za psa,daň za psa,"1316,37"
2013,Bežné prijímy daňové,daň za psa,nedoplatky min. rok,"414,8"
2013,Bežné prijímy daňové,daň za ubytovanie,,"164,6"
2013,Bežné prijímy daňové,daň za užívanie verej. Priest.,,434
2013,Bežné prijímy daňové,poplatok za komunálny odpad a stavebný odpad,poplatok za komunálny odpad a stavebný odpad,"29634,2"
2013,Bežné prijímy daňové,poplatok za komunálny odpad a stavebný odpad,nedoplatky min. rok,"1375,19"
2013,Bežné prijímy daňové,daň za jadrové zariadenia,,"38761,57"
2013,Bežné prijímy daňové,daň za dobývací priestor,,"118,97"
2013,Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom pozemkov,0
2013,Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom nebytových priestorov,"1598,13"
2013,Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom zariadenia,"153,53"
2013,Bežné prijímy nedaňové,prijímy z podnikania a vlastníctva majetku,prenájom bytov,"20423,52"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,správne poplatky,"8305,88"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,opatrovateľská služba,462
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,knižnica,24
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,relácia v MR ?,"783,5"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,poplatok za smetnú nádobu,"58,5"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,za dom smútku,"347,5"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,preddavky na prevádzku bytov,"4781,4"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,za odpadový olej,"25,8"
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,recyklačný fond,1345
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,poplatky cintorínske,2638
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,za reklamu,300
2013,Bežné prijímy nedaňové,administratívne poplatky a iné poplatky a platby,úroky z vkladov,1313
2013,Bežné prijímy ostatné,,,"133790,94"
2013,Granty a transfery,Obvodný úrad Trnava,školstvo,298802
2013,Granty a transfery,Obvodný úrad Trnava,dotácie soc. znevýhodnené prostredie,233
2013,Granty a transfery,Obvodný úrad Trnava,dotácie predškolský vek,3221
2013,Granty a transfery,Obvodný úrad Trnava,dotácie vzdelávacie poukazy,3573
2013,Granty a transfery,ÚPSVaR PN,školské potreby pre deti v hm. Núdzi,"116,2"
2013,Granty a transfery,ÚPSVaR PN,stravné pre deti v hm. N,431
2013,Granty a transfery,ÚPSVaR PN,rodinné prídavky,"161,14"
2013,Granty a transfery,Kraj. Úrad pre cestnú dopravu a pozemné komunikácie,miestne komunikácie a účelové komunikácie,"1933,05"
2013,Granty a transfery,Kraj. Úrad životného prostredia,starostlivosť pre životné prostrdie,"168,52"
2013,Granty a transfery,Kraj. Stavebný úrad TT,stavebný poriadok a bývanie,"1493,58"
2013,Granty a transfery,Ministerstvo vnútra SR,matrika,"2817,55"
2013,Granty a transfery,Obvodný úrad Trnava,voľby,1120
2013,Granty a transfery,VÚC TT,múzeum,1000
2013,Granty a transfery,subjekty mimo VS,kultúra šport,1800
2013,Granty a transfery,Min Kultúry,slávnosti,500
2013,Granty a transfery,Min Školstva,dofinancovanie,5087
2013,Granty a transfery,Úrad Vlády SR,šport TJ - tribúna,5500
2013,Kapitálové prijímy,prijímy z predaja pozemkov a nehmotných aktív,,"3064,32"
2013,Granty a transfery,Min. Hosp. envirofond,,49875
2013,Finančné operácie,úver,úver na kanalizáciu,"28612,08"
2013,Finančné operácie,Rezervný fond,cesta Bernolákova,"10135,09"
2013,Finančné operácie,Rezervný fond,vsakovačky,1200
2013,Finančné operácie,zostatky min. rokov,cesta Bernolákova,"3494,91"
2013,prijímy rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ,,11180
